City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,karkira,36.9292,6.5856,22.78,81,60,2.9,DZ,1691352039
169,hithadhoo,-0.6,73.0833,27.75,75,90,1.71,MV,1691352277
170,joao pinheiro,-17.7425,-46.1725,28.22,20,2,3.33,BR,1691352277
171,niquero,20.0431,-77.5828,30.64,70,48,1.59,CU,1691352278
172,bonito,-21.1211,-56.4819,34.65,19,0,3.94,BR,1691352278
173,as saffaniyah,27.9708,48.73,36.09,27,0,3.01,SA,1691352278
174,mccomb,31.2438,-90.4531,36.93,36,20,2.6,US,1691352279
175,boca suno,-0.7167,-77.1333,28.77,97,100,1.21,EC,1691352279
176,conduaga,8.862,117.4893,26.95,82,23,2.9,PH,1691352280
177,margaret river,-33.95,115.0667,11.08,80,60,3.32,AU,1691352280
178,watford city,47.8022,-103.2832,25.09,43,0,3.09,US,1691352021
179,montepuez,-13.1256,38.9997,19.3,71,10,2.21,MZ,1691352281
180,east london,-33.0153,27.9116,18.18,82,100,4.3,ZA,1691352034
181,bijie,27.3125,105.2942,18.94,94,100,0.72,CN,1691352282
182,nuuk,64.1835,-51.7216,12.34,58,0,7.72,GL,1691352282
183,lucapa,-8.4192,20.7447,22.32,30,0,1.16,AO,1691352283
184,guichon,-32.35,-57.2,26.13,55,84,2.89,UY,1691352283
185,alaghsas,17.0187,8.0168,28.0,55,78,7.68,NE,1691352283
186,boende,-0.2167,20.8667,23.78,83,97,1.87,CD,1691352284
187,nilakottai,10.1667,77.8667,27.2,66,87,1.67,IN,1691352284
188,colonia,50.9333,6.95,14.42,89,100,10.8,DE,1691352039
189,kargasok,59.0556,80.8572,14.07,65,7,3.32,RU,1691352285
190,san andres,12.5847,-81.7006,31.01,74,20,6.17,CO,1691352090
191,hamilton,39.1834,-84.5333,32.0,56,0,7.2,US,1691352264
192,ancud,-41.8697,-73.8203,8.91,73,0,5.35,CL,1691352040
193,argo,37.6333,22.7333,25.99,56,0,2.04,GR,1691352286
194,kirishi,59.4471,32.0205,23.62,75,68,2.66,RU,1691352287
195,callao,-12.0667,-77.15,22.16,64,20,6.17,PE,1691352287
196,bambanglipuro,-7.95,110.2833,22.47,95,45,1.88,ID,1691352288
197,saint-joseph,-21.3667,55.6167,20.21,75,48,7.22,RE,1691352288
198,sosnovo-ozerskoye,52.5249,111.5418,12.3,95,100,3.9,RU,1691352288
199,college,64.8569,-147.8028,23.45,55,75,3.09,US,1691352226
200,al burayqah,30.4062,19.5739,26.79,65,0,6.75,LY,1691352289
201,luderitz,-26.6481,15.1594,17.38,65,0,3.88,NA,1691352290
202,el bauga,18.262,33.9081,33.96,40,70,2.09,SD,1691352290
203,lincoln city,44.9582,-124.0179,27.25,78,46,3.13,US,1691352240
204,tazacorte,28.629,-17.9293,24.54,83,0,2.24,ES,1691352291
205,shahpur,16.7,76.8333,24.85,74,100,7.72,IN,1691352174
206,maun,-19.9833,23.4167,14.79,42,0,3.35,BW,1691352292
207,urzhar,47.093,81.6294,24.22,43,100,1.16,KZ,1691352292
208,papatowai,-46.5619,169.4708,7.2,88,100,2.14,NZ,1691352293
209,berwick-upon-tweed,55.7833,-2.0,14.45,78,12,0.84,GB,1691352294
210,enewetak,11.3474,162.3373,28.38,74,100,3.5,MH,1691352295
211,rabo de peixe,37.8,-25.5833,23.73,64,40,2.57,PT,1691352295
212,novodvinsk,64.4165,40.8122,14.06,88,32,1.63,RU,1691352296
213,campos novos,-27.4017,-51.225,21.21,58,0,1.19,BR,1691352296
214,badger,64.8,-147.5333,24.14,52,100,3.6,US,1691352296
215,kavieng,-2.5744,150.7967,26.96,76,100,6.4,PG,1691352297
216,grande prairie,55.1667,-118.8027,24.1,41,40,1.54,CA,1691352297
217,guarapari,-20.6667,-40.4975,23.83,67,47,4.19,BR,1691352034
218,gadzhiyevo,69.2551,33.3362,11.88,77,2,4.07,RU,1691352298
219,vuktyl,63.8567,57.3094,17.63,90,95,2.2,RU,1691352298
220,acarau,-2.8856,-40.12,27.83,67,4,9.2,BR,1691352076
221,geraldton,-28.7667,114.6,15.23,94,100,2.57,AU,1691352101
222,lebu,-37.6167,-73.65,12.94,68,0,2.15,CL,1691352299
223,portland,45.5234,-122.6762,26.96,65,75,2.57,US,1691351701
224,shihezi,44.3,86.0333,28.38,23,61,2.04,CN,1691352300
225,katabu,-4.9333,122.5167,22.15,89,86,2.15,ID,1691352301
226,daru,-9.0763,143.2092,24.68,67,99,5.63,PG,1691352301
227,mana,5.6592,-53.7767,29.15,73,8,5.65,GF,1691352302
228,taseyevo,57.2169,94.8978,9.4,86,14,1.56,RU,1691352305
229,mili,6.0815,171.735,28.3,76,73,3.48,MH,1691352306
230,mugia,43.1041,-9.2179,21.06,74,33,11.87,ES,1691352307
231,sitka,57.0531,-135.33,17.94,88,75,3.09,US,1691352309
232,naze,28.3667,129.4833,25.51,92,100,13.41,JP,1691352310
233,verdal,63.7933,11.4817,16.02,87,100,1.4,NO,1691352311
234,mejit,10.2753,170.8646,28.12,80,100,9.54,MH,1691352311
235,mcminnville,45.2101,-123.1987,27.88,57,20,1.54,US,1691352312
236,cox's bazar,21.4532,91.9798,26.93,90,100,6.1,BD,1691352312
237,keflavik,64.0049,-22.5624,11.95,87,75,2.57,IS,1691352313
238,noosa heads,-26.3833,153.15,13.52,92,40,3.34,AU,1691352035
239,polyarnyye zori,67.3661,32.4981,11.48,84,84,1.63,RU,1691352313
240,choyr,46.3611,108.3611,16.25,73,75,0.72,MN,1691352314
241,lompoc,34.6391,-120.4579,33.34,88,75,4.12,US,1691352314
242,kokopo,-4.352,152.2633,24.74,75,91,7.92,PG,1691352315
243,lala,7.9745,123.7458,23.41,95,69,0.69,PH,1691352315
244,bikenibeu village,1.3673,173.1241,28.98,79,40,2.06,KI,1691352316
245,rechytsa,52.3617,30.3916,27.06,44,0,9.68,BY,1691352316
246,baoying,33.2292,119.3092,24.12,97,5,2.86,CN,1691352317
247,fort bragg,35.139,-79.006,35.11,46,0,4.12,US,1691352317
248,al kharj,24.155,47.3346,37.32,22,7,3.64,SA,1691352318
249,newcastle,-32.9272,151.7765,12.62,91,100,3.09,AU,1691352270
250,tomatlan,19.9333,-105.25,33.66,54,100,4.13,MX,1691352319
251,rehoboth,-23.3167,17.0833,14.68,24,0,2.77,NA,1691352093
252,nemuro,43.3236,145.575,14.47,97,100,5.19,JP,1691352320
253,qaqortoq,60.7167,-46.0333,6.59,85,27,2.32,GL,1691352321
254,afaahiti,-17.75,-149.2833,25.93,77,62,5.49,PF,1691352321
255,selfoss,63.9331,-20.9971,12.8,88,99,2.25,IS,1691352322
256,susuman,62.7833,148.1667,3.6,94,100,2.52,RU,1691352322
257,yangchun,22.1667,111.7833,25.0,92,6,0.93,CN,1691352084
258,strelka,58.0728,93.0344,12.7,90,99,0.99,RU,1691352323
259,nizhneudinsk,54.9076,99.0276,12.66,90,100,1.35,RU,1691352323
260,bayanaul,50.7889,75.6956,18.01,87,83,1.73,KZ,1691352324
261,talas,38.6908,35.5538,25.37,57,0,1.03,TR,1691352324
262,salinopolis,-0.6136,-47.3561,28.11,77,41,6.12,BR,1691352325
263,ilulissat,69.2167,-51.1,11.01,50,20,2.06,GL,1691352325
264,port macquarie,-31.4333,152.9167,12.16,84,46,3.92,AU,1691352326
265,alamos,27.0167,-108.9333,34.94,39,26,2.81,MX,1691352327
266,utrik,11.2278,169.8474,27.88,80,74,7.63,MH,1691352327
267,puerto aysen,-45.4,-72.7,6.96,95,100,1.42,CL,1691352328
268,oltinko'l,40.8011,72.1634,25.65,45,100,2.8,UZ,1691352328
269,aripuana,-9.1667,-60.6333,38.07,19,100,1.41,BR,1691352329
270,yuzhno-kurilsk,44.0306,145.8556,14.27,98,100,3.08,RU,1691352329
271,alesund,62.4723,6.1549,15.5,80,75,8.23,NO,1691352040
272,muynoq,43.7683,59.0214,26.76,39,8,3.17,UZ,1691352330
273,tayu,-6.5397,111.0518,24.14,82,46,3.66,ID,1691352330
274,takoradi,4.8845,-1.7554,23.86,90,17,3.89,GH,1691352331
275,karbala,32.616,44.0249,37.09,18,0,5.19,IQ,1691352287
276,yei,4.095,30.6779,19.86,93,100,1.5,SS,1691352332
277,kijang,35.2442,129.2139,26.85,90,8,4.49,KR,1691352332
278,yuanping,38.7153,112.7575,20.86,91,98,0.3,CN,1691352332
279,el nido,11.1858,119.3956,27.86,78,14,5.8,PH,1691352333
280,tazovsky,67.4667,78.7,14.06,62,11,2.55,RU,1691352333
281,ugoofaaru,5.6667,73.0,28.19,77,100,6.22,MV,1691352334
282,coquimbo,-29.9533,-71.3436,17.85,59,20,5.14,CL,1691352334
283,midvagur,62.0511,-7.1939,12.46,87,100,2.57,FO,1691352335
284,tupelo,34.2576,-88.7034,39.34,30,35,6.45,US,1691352335
285,willowmore,-33.2926,23.4895,10.89,79,2,2.37,ZA,1691352335
286,ulladulla,-35.35,150.4667,9.59,87,81,3.47,AU,1691352336
287,constantia,44.1833,28.65,22.61,82,0,3.82,RO,1691352336
288,holualoa,19.6228,-155.9522,26.97,72,20,3.09,US,1691352336
289,arno,60.1167,18.6333,18.21,93,90,7.99,SE,1691352337
290,tsiombe,-25.3,45.4833,18.64,78,0,4.46,MG,1691352337
291,lodja,-3.4833,23.4333,29.54,32,100,0.99,CD,1691352338
292,la ronge,55.1001,-105.2842,23.14,46,40,5.66,CA,1691352180
293,ngaoundere,7.3167,13.5833,18.42,92,100,0.93,CM,1691352338
294,rundu,-17.9333,19.7667,14.66,29,0,2.97,NA,1691352339
295,kogalym,62.2654,74.4791,18.21,57,6,2.79,RU,1691352339
296,cannonvale,-20.2833,148.7,18.66,83,17,7.01,AU,1691352339
297,mishelevka,52.8575,103.1719,14.32,97,33,0.47,RU,1691352340
298,rongelap,11.1635,166.8941,28.04,78,64,5.1,MH,1691352340
